Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A12,1,1,1,0,1,5,6968.25869140625,836.525667281609,1768.80053710938,198.793912493864,620.955584716797,241.939247657237,74.2899044036865,59.2434350315025,1094.9296661377,661.605952346627,1871.12685546875,615.598686131387,19,
A12,0,0,0,1,1,4,818.142074584961,56.8287802839807,535.160385131836,38.698541913624,51.7607023715973,36.0541405823498,41.5273795127869,15.2317856746859,3942.79425048828,612.632828092742,1156.49067687988,208.073754328055,20,
A12,1,0,0,1,1,2,7266.82421875,95.471154537606,593.027648925781,102.314950357911,74.9396228790283,44.028032970378,49.1802959442139,38.7684245692184,3988.40966796875,444.00298213011,2937.62634277344,130.982726906741,21,
A12,1,1,0,1,1,5,6808.0935546875,270.493967279557,1705.43833007813,98.304269290049,128.695286560059,38.6342755179251,72.5511927366257,53.9451081497989,3261.92651367188,138.111975131594,1987.10637207031,383.208340861296,22,
A12,0,0,1,1,1,4,903.021850585938,86.3548855459673,547.306045532227,73.4969642382053,642.836975097656,71.3660097112004,94.6339640617371,71.5664764823036,4017.23046875,173.925786677023,1464.65058898926,899.784021435754,23,
A12,1,0,1,1,1,83,7148.93887071724,559.950488366942,591.814932214208,123.297244971809,561.002486631095,122.109968801351,61.1965651224895,52.9446175839811,3442.77618775885,369.251155037371,2257.19047233857,579.731849895217,24,
A12,1,1,1,1,1,158,6903.94048531448,668.154826243321,1788.1727024513,163.076447429455,479.55883673173,109.910303070709,57.681946544519,51.7957996597253,3125.8470057234,380.36692009438,1905.51394885099,540.105735002509,25,
B11,0,0,0,0,,13584,809.531888195707,59.4493614406894,594.042079514413,61.8148531266191,617.190772828281,47.4866828661212,266.62364981621,46.7391809380058,-12.918674250682,40.7788779766418,582.441169273727,54.3497452539915,1,
B11,1,0,0,0,,25,7522.17427734375,480.505834031259,596.590173339844,100.808724447146,628.107907714844,32.334860573904,265.733565063477,45.3077726571177,-17.9030614280701,37.3778941527858,595.15947265625,42.7602150041509,2,
B11,0,1,0,0,,173,910.42038510714,65.89555968317,1624.2743173941,148.887204799102,615.499012500565,48.424002223451,262.879802549505,43.9016338195648,-12.5416026434113,43.9177211847281,585.634160741905,72.2496063944783,3,
B11,1,1,0,0,,2,4817.94738769531,1738.92110497106,1431.51062011719,3.53415283800073,582.831665039063,2.6639074073461,269.60245513916,30.5945713162486,-56.1561572551727,76.3190672012823,831.210968017578,364.76865484373,4,
B11,0,0,1,0,,35,800.68588344029,55.2428844678869,592.143709019252,69.3634462577733,3305.83879743304,663.078953818014,204.194242422921,81.8621403682491,-18.6729030268533,36.979251013597,592.149183872768,50.9358096610432,5,
