Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
B07,1,0,1,1,,2,4620.6640625,212.625766141656,746.654083251953,69.9087523922615,6519.81127929688,480.188688283555,114.452751159668,15.9106686378159,-304.028747558594,18.1123606612623,2718.64477539063,139.392912712177,8,
B07,1,1,1,1,,1,2637.0830078125,0,1346.037109375,0,2036.92919921875,0,13.8567600250244,0,-85.436393737793,0,561.849182128906,0,9,
B08,0,0,0,0,,13122,281.60116949141,55.08186686864,602.403573100005,91.7568169577556,989.745893606597,176.698590032681,119.512105859052,49.5983090862474,1.78945303371191,34.6220271006236,256.252940928676,48.7391265455091,1,
B08,1,1,1,1,,2,3482.02404785156,966.077561822969,1875.15728759766,211.649092163491,4600.35583496094,2573.32954912508,121.813423156738,106.672942586132,-209.279975891113,173.936475146503,1571.48559570313,1217.95517756061,2,
C01,0,0,0,0,0,10119,594.5578350207,126.814421639518,658.524192513749,137.54795375913,282.349842818338,63.8626094507115,146.289499109024,54.7216869824375,287.321638322557,126.440967374456,361.390544875901,87.3509781092985,1,
C01,0,1,0,0,0,3,673.314870198568,156.223268090724,1919.81099446615,267.475293928712,306.34260559082,75.5156965821584,140.243016560872,23.2859669508396,314.408233642578,55.2921615445068,379.550364176432,40.5891741189178,2,
C01,0,0,1,0,0,1,714.401489257813,0,752.060546875,0,2313.82470703125,0,185.447982788086,0,208.678329467773,0,458.365203857422,0,3,
C01,0,0,0,1,0,2,522.353546142578,83.9246929337055,572.103927612305,87.6964541935704,347.591400146484,117.669749942688,102.646596908569,74.3508414074284,3346.57885742188,750.778220798443,626.315124511719,48.4150626913494,4,
C01,1,1,1,1,0,2,3450.42895507813,239.697805011801,1255.01373291016,24.6200390736154,518.842376708984,87.3373117936898,156.49328994751,52.3380239157858,1524.44677734375,232.477063962804,557.212188720703,274.774815724456,5,
C01,0,0,0,0,1,2,525.959823608398,23.4438223584624,628.885955810547,64.8300477058047,171.646148681641,45.8387883601263,157.367607116699,1.02094367914146,7.77779388427734,234.321555713149,2658.32836914063,229.446137752528,6,
C01,1,1,0,0,1,1,5989.95751953125,0,2044.93041992188,0,283.197021484375,0,135.19059753418,0,-27.9166507720947,0,3132.65600585938,0,7,
C01,0,0,0,1,1,1,653.206604003906,0,688.489135742188,0,278.517150878906,0,148.257583618164,0,2766.91577148438,0,903.720275878906,0,8,
C01,1,1,0,1,1,1,4912.49560546875,0,1833.87329101563,0,312.975463867188,0,145.359634399414,0,2415.89086914063,0,1347.86181640625,0,9,
C01,1,0,1,1,1,1,5443.4150390625,0,600.261169433594,0,827.247802734375,0,72.7985992431641,0,2567.79541015625,0,1685.3603515625,0,10,
C01,1,1,1,1,1,1,5801.30224609375,0,2077.57421875,0,856.124389648438,0,238.911636352539,0,2246.82470703125,0,2406.7021484375,0,11,
C02,0,0,0,0,0,10935,581.096357828218,113.735547865167,635.540344665276,123.27497381287,273.037787169433,53.8591949932773,136.930506404655,41.75227166926,265.352290504361,98.111947808123,363.837476272478,75.7862765065025,1,
C02,0,1,0,0,0,3,554.908477783203,84.7636828788361,1433.62996419271,209.182024150422,239.747126261393,45.4916319038164,107.939178466797,10.5426368272314,208.881500244141,40.1513583859422,314.937255859375,27.5725639590857,2,
C02,0,0,1,0,0,1,600.713439941406,0,643.252868652344,0,1909.89660644531,0,249.915512084961,0,248.944259643555,0,382.877105712891,0,3,
C02,0,0,0,1,0,2,806.276733398438,11.935189068387,777.699584960938,21.51962788301,346.583160400391,38.3030559267005,170.048782348633,8.14117966730496,2107.35375976563,264.353320267919,847.194244384766,59.0324971607393,4,
C02,0,0,0,0,1,1,772.832214355469,0,685.980773925781,0,244.993927001953,0,129.03645324707,0,-185.036590576172,0,4144.96240234375,0,5,
