Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
B11,0,0,1,0,37,525.315567429001,49.1514527300835,1046.70929944837,110.969928339065,895.80722623258,215.552154522809,28.7644123966629,41.3325574145577,2.41321003437042,38.1612342450773,298.133947423987,47.7378839722348,5,
B11,1,0,1,0,50,5417.63442382813,448.806759655419,1208.94809570313,127.992073720606,750.242865600586,180.739759653123,49.4529451805353,39.4953700128508,1.21001618683338,39.1140861986285,298.126603393555,57.3192874031385,6,
B11,0,1,1,0,2,824.429718017578,56.6352221810159,5156.0224609375,1004.77042417348,469.116638183594,44.5330533679749,174.140880584717,164.053806580516,-6.98605990409851,1.97115786581109,282.47900390625,4.73192716040492,7,
B11,1,1,1,0,5,5144.22109375,220.463276749173,4830.70517578125,364.678367396023,515.119451904297,165.442893997897,95.2197357177734,55.4725432172726,-11.0172386169434,27.2884266853761,363.805773925781,120.022613783987,8,
B11,0,0,0,1,52,534.436869694636,56.8844490856235,1044.18312307505,98.2475298944298,96.1561901385968,67.6874582315214,51.6003052523503,47.2218347818455,-309.932275331937,102.654681788043,3418.44454251803,746.239742009535,9,
B11,1,0,0,1,14,5469.42166573661,456.741004264921,1117.41380964007,97.7702782512776,102.009328842163,32.0732913475897,46.9361306599208,33.8124812907747,-288.986800057547,105.783905275328,3133.93117850167,776.849423925055,10,
B11,0,1,0,1,19,765.013501619038,74.5057399472221,5766.8904194079,655.400415285547,113.951933609812,20.4574952723891,46.9441108703613,42.6169162989861,-296.395200227436,83.360696162975,3158.96890419408,843.740008578809,11,
B11,1,1,0,1,12,5723.42256673177,518.715473851472,5736.89473470052,498.212267720547,120.151770909627,20.2424546494807,66.9065390427907,44.3773218729775,-204.921742121379,80.8321225557049,2323.59353637695,708.05513437311,12,
B11,0,0,1,1,2,584.722290039063,46.2145898919367,1092.47946166992,126.839393635608,526.467010498047,319.856670961912,-13.2098532021046,17.5646579394441,-246.97599029541,97.3834049333651,2503.591796875,394.918446758721,13,
B11,1,0,1,1,82,5524.79018792873,493.041970504669,1278.39979813739,156.715581300642,680.904411874166,151.479456061465,43.9926879660385,48.1145002058169,-191.22734190778,76.852069450041,2159.42344330578,589.800662597684,14,
B11,0,1,1,1,1,776.194030761719,0,5655.29052734375,0,532.590393066406,0,2.79916524887085,0,-137.364074707031,0,2212.759765625,0,15,
B11,1,1,1,1,255,5570.50396943934,481.912809291183,5463.93352673101,493.854289695029,554.368124449487,122.558562800576,50.1634937513108,38.3367371002392,-150.153187883601,75.5134192787958,1605.20397111481,526.186636783085,16,
B12,0,0,0,0,15254,610.407891889317,71.2653869193115,670.686446835458,82.7905319493317,240.794935952418,40.7795374118428,129.641353778528,46.3512467305305,-0.97419166110193,63.9018575477399,574.564928028051,75.9547877494906,1,
B12,1,0,0,0,32,5743.67295074463,777.667138238136,669.00887966156,118.742011759616,238.590740680695,41.7179498301418,117.042854011059,45.7515777012463,-2.32908818125725,72.5107722524353,568.824110031128,74.1339143003311,2,
B12,0,1,0,0,164,678.244536609184,70.2254376634647,1953.34989891983,207.681251721853,239.103317725949,37.5198541070026,125.5579629177,44.2490246355055,-5.9539100486081,62.5550525493543,571.416974509635,70.8074441058464,3,
B12,1,1,0,0,1,6495.416015625,0,2062.63598632813,0,218.028472900391,0,89.311393737793,0,81.3617630004883,0,417.936187744141,0,4,
B12,0,0,1,0,48,597.966991424561,76.2431137141965,643.271865844727,79.5468758761489,1719.85168329875,449.658475242725,129.907911419868,65.7382439787701,-14.6467102269332,61.4677678385856,573.248682022095,72.7258729148663,5,
B12,1,0,1,0,31,5667.97881489415,612.070223757895,644.346386324975,120.368490312551,1183.10476979902,279.808962533454,130.359307873634,54.3462051329429,-5.20509800747518,61.772457625597,547.994225286668,67.3523233060471,6,
B12,0,1,1,0,1,606.72705078125,0,2108.130859375,0,1280.55895996094,0,141.4755859375,0,-49.3999366760254,0,667.588195800781,0,7,
B12,1,1,1,0,1,4976.15234375,0,1615.154296875,0,875.279113769531,0,125.259346008301,0,1.77246654033661,0,836.085021972656,0,8,
B12,0,0,0,1,69,623.336723880491,71.841870033663,633.463905223902,77.8659754842095,119.574945290883,42.8312697010814,113.434958112413,54.8312514305957,-833.417294267295,181.103979796191,8912.44752038043,1729.91167683276,9,
B12,1,0,0,1,20,5826.65478515625,651.28447828953,624.214546203613,106.844730722934,168.293235778809,29.3882006898397,106.646891015768,50.8156020958171,-570.400886535645,165.232037653669,5595.36859741211,1582.5770175007,10,
B12,0,1,0,1,24,684.386830647786,81.5223443395243,1904.38776143392,213.779730228052,180.174681345622,43.2825617209833,104.451511263847,57.6380308592988,-452.789033651352,198.117471326922,5519.45865122477,1835.49306871049,11,
B12,1,1,0,1,5,5541.2953125,1004.78714775876,1836.9390625,324.739919203119,244.308184814453,100.150832584368,129.512295532227,21.2060348202488,-351.386267089844,139.293639797137,3904.90810546875,2394.4916730979,12,
B12,0,0,1,1,5,619.543627929688,79.6441265975366,663.070446777344,70.8948441483,1307.87438964844,172.587197050537,98.4122131347656,36.1500562825456,-434.998168945313,58.0155015131632,5007.6392578125,1280.42104069305,13,
B12,1,0,1,1,84,5910.54660179501,654.150978472441,658.072930472238,113.370444376869,1221.67297508603,363.016367844963,137.56159611543,63.3869056149107,-375.95125920432,169.807549611066,4520.27431379046,1432.67757848869,14,
B12,1,1,1,1,207,5717.56697944973,674.624099593134,1902.73624025796,224.133757895732,906.194569168459,190.23930430064,126.638940255999,56.0673394902648,-265.823260002522,133.427461684321,3147.13742463485,1036.13205941604,15,
C11,0,0,0,0,10205,231.976622586435,47.55132842656,1036.31558409658,130.796807802568,623.217785970491,85.2786283724698,84.1135102560564,54.869401730069,6.7911980753759,57.5314023077688,286.936653090107,53.5313833940587,1,
C11,1,0,0,0,29,4566.02524750808,481.307777970181,991.813263991783,148.583959725845,592.263303559402,64.7813355085971,79.590037189681,58.3100691768361,16.3520558702535,58.6654638291636,269.19016765726,52.8241560464785,2,
C11,0,1,0,0,126,387.089703393361,63.593621191901,5120.47590952071,605.814236544954,581.552833193824,85.7276046295259,85.1025293857332,61.6832501921609,0.421125940623738,62.7017685922118,276.935113210527,46.4266444801633,3,
C11,1,1,0,0,3,3775.99348958333,315.53089098617,4381.44563802083,236.74002894697,536.633748372396,44.6419525440752,69.5505358378092,85.6835096573648,-9.62551689147949,120.215155449783,276.840291341146,135.808545720585,4,
C11,0,0,1,0,26,224.155118502103,39.1913950024256,1153.0185171274,185.826432352413,6998.69007286659,843.223366818245,-44.6883387198815,82.915262602777,-4.8761290036715,66.0905963247725,290.542930603027,59.0918770159932,5,
C11,1,0,1,0,23,4478.33945100204,355.635497499673,1190.69088877802,125.625947390234,7015.10213569973,715.051050204073,-94.4141936613166,106.711273258234,-0.871466895808344,122.897378545009,269.180645486583,177.185972232644,6,
C11,1,1,1,0,10,3778.3146484375,980.747918114804,4507.24643554687,1150.89800855107,5609.71916503906,1361.4053491046,57.7798431396484,104.414538464386,307.241115760803,388.780315272773,28.288459777832,477.327990494683,7,
C11,0,0,0,1,40,226.808772277832,48.468087035231,1008.39778289795,114.840985092145,540.370630264282,105.00390447157,50.070681977272,75.1494494981751,-309.893983745575,250.036208299972,2821.35231018066,859.022414989047,8,
C11,1,0,0,1,1,2963.64721679688,0,-993.904907226563,0,370.425476074219,0,2694.48974609375,0,-637.07666015625,0,1369.69494628906,0,9,
C11,0,1,0,1,10,379.582598876953,45.3690491880412,5022.7189453125,493.981114555278,551.828872680664,47.4063964843924,73.024670791626,58.0511404244041,-270.037286376953,91.3245105930085,2412.23647460937,343.80696086091,10,
